date,open,high,low,close,volume
2022-07-05,49.6,55.08,49.6,52.22,228294
2022-07-06,55.5,59.5,54.1,56.49,161152
2022-07-07,54.56,56.58,52.64,55.0,111707
2022-07-08,54.5,57.98,54.5,55.8,84027
2022-07-11,55.18,61.47,54.82,60.1,93317
2022-07-12,59.5,62.38,55.52,55.71,93715
2022-07-13,55.71,58.49,53.34,57.89,90030
2022-07-14,60.7,69.57,59.25,69.57,82751
2022-07-15,71.54,75.6,70.01,72.7,100211
2022-07-18,69.51,74.23,67.56,72.91,82148
2022-07-19,72.38,75.5,70.35,73.41,47707
2022-07-20,72.59,78.49,72.1,74.04,59570
2022-07-21,72.11,79.5,71.7,75.9,63759
2022-07-22,75.61,76.32,70.38,71.61,57671
2022-07-25,70.68,77.95,69.59,77.53,48171
2022-07-26,76.73,79.29,75.84,78.48,32841
2022-07-27,77.89,81.12,75.0,79.32,33840
2022-07-28,79.32,79.9,71.71,72.8,55926
2022-07-29,71.4,74.89,71.4,73.34,29452
2022-08-01,72.56,73.38,69.6,72.55,24553
2022-08-02,71.0,72.36,69.57,70.83,23812
2022-08-03,71.49,72.07,64.61,64.61,49801
2022-08-04,64.5,65.73,62.78,64.0,31928
2022-08-05,63.7,65.4,61.68,63.0,36881
2022-08-08,62.72,65.75,62.68,64.54,29333
2022-08-09,64.29,64.79,61.71,63.24,16765
2022-08-10,62.35,63.94,60.47,62.49,20850
2022-08-11,62.49,64.85,61.7,64.29,26466
2022-08-12,63.74,64.26,61.71,62.7,17116
2022-08-15,62.31,62.9,59.61,60.39,21979
2022-08-16,60.39,61.09,58.58,60.56,22114
2022-08-17,60.17,62.1,59.8,60.59,17058
2022-08-18,59.56,61.12,59.53,60.48,12324
2022-08-19,60.08,60.48,56.92,57.73,21555
2022-08-22,57.1,59.79,56.92,59.5,17578
2022-08-23,59.8,62.38,58.44,61.9,22708
2022-08-24,61.71,63.44,60.7,61.21,18967
2022-08-25,62.25,66.38,61.33,66.1,40455
2022-08-26,64.63,67.36,63.49,66.79,19832
2022-08-29,65.64,66.38,63.05,65.62,16291
2022-08-30,66.48,66.48,63.05,63.27,9420
2022-08-31,62.72,65.15,60.8,63.99,14552
2022-09-01,63.19,64.83,59.2,59.87,19858
2022-09-02,59.85,63.13,59.58,61.29,13596
2022-09-05,61.5,63.0,59.66,60.29,7956
2022-09-06,60.29,60.99,59.27,60.56,7371
2022-09-07,60.07,61.64,59.65,61.03,7680
2022-09-08,61.06,64.93,60.42,63.51,14614
2022-09-09,65.3,68.5,63.98,65.5,22562
2022-09-13,64.51,66.49,63.5,65.51,11227
2022-09-14,64.6,65.3,63.18,64.65,7538
2022-09-15,64.83,65.83,62.8,63.99,8236
2022-09-16,63.5,64.25,61.32,62.0,7415
