date,open,high,low,close,volume
2021-08-24,106.73,115.82,100.74,111.55,137940
2021-08-25,113.91,118.22,109.72,113.87,76165
2021-08-26,113.47,115.8,102.53,104.72,61045
2021-08-27,102.73,111.91,102.14,107.24,45945
2021-08-30,104.33,117.5,101.74,115.74,43358
2021-08-31,114.24,116.86,107.57,109.36,30681
2021-09-01,110.68,115.09,104.37,110.32,30056
2021-09-02,110.39,121.69,108.72,117.26,27508
2021-09-03,116.62,119.93,108.78,111.11,21967
2021-09-06,109.07,113.02,108.33,111.2,13909
2021-09-07,109.99,111.87,106.77,107.85,15793
2021-09-08,106.35,108.32,103.93,107.8,14423
2021-09-09,106.8,107.47,98.74,101.54,21764
2021-09-10,100.75,102.57,98.34,100.75,13057
2021-09-13,99.59,100.66,95.75,96.36,12103
2021-09-14,96.56,100.34,95.16,97.5,11611
2021-09-15,96.71,100.33,94.96,100.05,9509
2021-09-16,99.75,99.94,95.15,95.26,7873
2021-09-17,94.96,101.03,94.96,96.05,13798
2021-09-22,95.54,96.73,90.04,94.75,11817
2021-09-23,93.82,95.15,91.42,91.44,7997
2021-09-24,91.46,93.51,90.45,90.5,5993
2021-09-27,88.77,90.5,79.99,84.64,12959
2021-09-28,84.34,93.95,82.14,91.96,14615
2021-09-29,90.36,92.66,87.45,88.2,8977
2021-09-30,87.58,89.96,87.58,88.51,6523
2021-10-08,88.51,89.15,83.13,85.46,6977
2021-10-11,84.93,92.56,84.8,90.5,9355
2021-10-12,88.78,91.43,85.69,87.17,7459
2021-10-13,86.77,90.96,85.98,89.53,5387
2021-10-14,88.76,95.89,88.57,94.18,8377
2021-10-15,93.95,95.95,92.13,95.46,6799
2021-10-18,95.55,96.35,91.83,93.16,8592
2021-10-19,91.96,93.54,91.16,91.98,4810
2021-10-20,91.16,95.99,91.16,94.6,6637
2021-10-21,93.95,95.32,91.56,93.83,7360
2021-10-22,93.55,98.74,93.54,96.6,7691
2021-10-25,96.73,100.13,95.59,97.47,5183
2021-10-26,97.35,97.67,92.1,93.83,8175
2021-10-27,96.75,104.33,96.46,96.46,12382
2021-10-28,95.2,103.73,95.2,99.02,11954
2021-10-29,98.79,104.73,97.55,103.13,10190
2021-11-01,104.02,106.21,101.96,102.65,6915
2021-11-02,103.92,106.33,100.66,101.94,10265
2021-11-03,101.16,102.69,97.61,99.74,10164
2021-11-04,100.34,102.81,99.75,100.74,7846
2021-11-05,102.73,102.73,98.14,99.06,7730
2021-11-08,97.95,99.54,97.51,97.95,4966
2021-11-09,97.75,104.73,96.77,103.61,11333
2021-11-10,104.73,107.52,102.26,104.73,10150
2021-11-11,103.89,104.69,102.14,103.03,7018
2021-11-12,102.49,106.21,102.36,105.63,6653
2021-11-15,105.76,108.49,104.16,104.29,8298
2021-11-16,103.15,105.68,101.44,101.54,6410
2021-11-17,101.15,103.66,100.36,103.66,5257
2021-11-18,103.66,106.53,101.73,105.85,6237
2021-11-19,104.73,116.63,104.33,113.91,15987
2021-11-22,113.94,114.7,112.31,113.63,10279
2021-11-23,113.91,114.67,109.76,110.17,9492
2021-11-24,109.96,112.3,108.67,110.39,5909
2021-11-25,110.36,111.45,108.99,110.17,4191
2021-11-26,110.38,112.58,109.08,109.91,5424
2021-11-29,108.56,112.71,108.39,111.91,5745
2021-11-30,111.34,116.14,106.33,106.84,13983
2021-12-01,107.13,107.92,104.76,105.41,8197
2021-12-02,105.2,106.42,100.3,100.69,10415
2021-12-03,100.74,102.93,100.74,102.08,4575
2021-12-06,101.97,102.34,97.58,98.0,10186
2021-12-07,98.7,99.65,92.68,93.91,11517
2021-12-08,94.75,96.94,94.29,95.91,6212
2021-12-09,96.12,97.34,94.86,96.83,5140
2021-12-10,96.55,97.23,95.26,96.48,3667
2021-12-13,97.1,98.98,94.36,97.83,5609
2021-12-14,97.19,99.85,96.86,98.28,4144
2021-12-15,98.16,98.2,93.24,93.31,8860
2021-12-16,93.56,94.47,92.28,94.15,5965
2021-12-17,94.1,94.1,90.23,91.13,8325
2021-12-20,90.76,92.6,89.8,91.13,4430
2021-12-21,92.08,92.89,90.61,92.23,2825
2021-12-22,91.96,92.35,90.71,90.72,3993
2021-12-23,90.36,93.14,90.21,93.08,4414
2021-12-24,92.88,93.11,91.38,91.54,3738
2021-12-27,90.84,92.91,90.84,92.04,2720
2021-12-28,92.04,93.84,90.85,92.36,4560
2021-12-29,92.71,93.12,90.71,90.74,3971
2021-12-30,90.56,93.47,88.42,92.83,11274
2021-12-31,93.54,97.77,92.76,96.27,7955
2022-01-04,95.95,97.95,94.18,96.11,7767
2022-01-05,96.15,96.75,89.97,91.56,7167
2022-01-06,90.68,93.37,89.75,92.76,4281
2022-01-07,91.98,93.13,87.77,87.78,7529
2022-01-10,87.8,89.17,86.04,88.37,3044
2022-01-11,88.76,89.48,84.74,85.31,5539
2022-01-12,85.69,87.36,84.83,87.15,3825
2022-01-13,86.62,87.13,83.4,83.54,5499
2022-01-14,83.15,84.77,82.36,82.93,4748
2022-01-17,82.94,87.32,82.94,87.17,5747
2022-01-18,87.2,87.8,85.77,86.28,2852
2022-01-19,86.25,86.34,82.38,82.98,4060
2022-01-20,83.0,83.18,77.83,77.83,10309
2022-01-21,77.85,78.39,74.36,74.8,8318
2022-01-24,74.84,79.59,74.47,77.76,4934
2022-01-25,77.79,80.58,77.19,77.83,5468
2022-01-26,77.43,78.6,76.31,78.27,3233
2022-01-27,78.76,78.76,75.16,75.66,4625
2022-01-28,68.95,70.86,65.24,70.79,14974
2022-02-07,70.81,73.35,69.59,71.31,6742
2022-02-08,70.59,72.35,68.22,70.43,6861
2022-02-09,70.39,71.14,68.76,69.21,5707
2022-02-10,83.26,83.26,79.91,83.26,23176
2022-02-11,82.38,82.38,75.43,78.21,29258
2022-02-14,76.06,81.5,76.06,77.55,14439
2022-02-15,77.19,80.88,76.64,79.35,12798
