date,open,high,low,close,volume
2022-04-07,48.25,75.07,47.38,61.6,87095
2022-04-08,55.38,64.93,53.55,55.36,65162
2022-04-11,51.16,54.57,48.35,49.97,50857
2022-04-12,49.1,56.71,48.5,54.57,55987
2022-04-13,52.23,53.07,48.78,48.94,50647
2022-04-14,46.47,46.8,44.25,44.29,47588
2022-04-15,45.17,48.17,43.58,44.06,39834
2022-04-18,41.77,43.15,40.87,42.7,33620
2022-04-19,41.3,43.87,41.3,42.7,26433
2022-04-20,42.16,43.14,40.93,41.12,25655
2022-04-21,40.47,42.56,39.57,40.57,27098
2022-04-22,40.66,43.62,40.57,43.22,39924
2022-04-25,45.65,48.06,40.27,41.07,42683
2022-04-26,37.31,41.01,35.48,38.15,38585
2022-04-27,36.11,38.04,35.79,37.62,28058
2022-04-28,36.87,36.87,33.78,33.87,33675
2022-04-29,34.41,37.09,34.27,36.77,35522
2022-05-05,36.37,41.77,36.28,39.17,30636
2022-05-06,38.17,41.69,37.78,40.85,26277
2022-05-09,42.93,44.85,40.85,41.52,22042
2022-05-10,40.3,42.49,40.3,42.47,18262
2022-05-11,42.52,45.39,42.05,43.67,29291
2022-05-12,42.81,43.97,42.25,42.57,19148
2022-05-13,43.27,43.37,41.29,41.37,12875
2022-05-16,41.95,43.07,40.57,41.32,13318
2022-05-17,41.42,41.42,39.37,40.06,10001
2022-05-18,39.38,40.77,39.38,40.27,6310
2022-05-19,39.62,40.05,39.09,39.66,7210
2022-05-20,39.66,40.78,39.49,40.78,9192
2022-05-23,40.99,44.27,40.78,44.27,21132
2022-05-24,44.21,44.93,42.58,42.87,16604
2022-05-25,42.57,49.87,42.57,47.41,30677
2022-05-26,46.27,48.09,44.97,46.91,22727
2022-05-27,46.13,46.37,44.37,45.27,14601
2022-05-30,45.26,46.06,44.19,45.67,9363
2022-05-31,45.62,48.9,45.48,48.77,21453
2022-06-01,48.13,50.07,47.3,48.46,17326
2022-06-02,48.03,49.08,47.24,47.68,9483
2022-06-06,47.92,51.81,47.92,51.26,19776
2022-06-07,51.12,52.35,50.32,51.47,10501
2022-06-08,52.44,53.05,48.67,51.57,12985
2022-06-09,51.77,52.48,49.62,50.17,7185
2022-06-10,49.86,51.8,49.24,51.52,9572
2022-06-13,51.19,53.01,50.84,52.28,8648
2022-06-14,52.37,52.38,48.16,50.37,11103
2022-06-15,50.39,55.51,50.39,54.03,15116
2022-06-16,54.03,58.51,51.25,52.4,24857
2022-06-17,51.01,52.06,49.72,51.92,13116
2022-06-20,52.05,53.4,49.85,52.17,12813
2022-06-21,52.17,59.32,51.53,55.29,26097
2022-06-22,53.18,56.02,53.18,54.19,10448
2022-06-23,54.1,55.32,53.04,54.23,6423
2022-06-24,54.52,55.32,52.18,52.57,10509
2022-06-27,52.1,52.83,50.04,52.49,10634
2022-06-28,51.97,53.78,51.08,53.07,5694
2022-06-29,53.04,53.07,50.82,51.24,5762
2022-06-30,50.74,52.02,50.18,51.32,5417
2022-07-01,51.04,52.12,49.73,50.12,7267
2022-07-04,50.52,51.37,49.1,49.82,6175
2022-07-05,50.52,50.52,48.12,48.74,4904
2022-07-06,48.74,49.02,48.02,48.9,2908
2022-07-07,49.1,52.29,48.27,50.32,6801
2022-07-08,50.7,51.48,49.7,51.24,5314
2022-07-11,51.02,53.0,50.82,52.2,7833
2022-07-12,52.4,52.4,48.02,48.22,8090
2022-07-13,48.03,48.58,47.11,48.14,3044
2022-07-14,48.24,50.02,48.0,48.68,3888
2022-07-15,48.7,48.91,46.8,46.85,4410
2022-07-18,46.85,47.42,46.58,46.76,2374
2022-07-19,46.58,47.0,45.52,46.36,3187
2022-07-20,46.13,47.96,46.13,47.83,3361
2022-07-21,47.8,48.4,46.72,47.74,2313
2022-07-22,47.52,47.77,46.32,46.83,3856
2022-07-25,46.15,47.52,46.15,46.66,2551
2022-07-26,48.22,48.51,44.78,46.81,5119
2022-07-27,46.52,48.7,46.52,48.62,5052
2022-07-28,48.8,50.41,48.51,48.65,2741
2022-07-29,48.65,49.4,47.72,48.87,2259
2022-08-01,48.71,50.72,47.79,49.98,5136
